,Unnamed: 0,text,intent,label
0,0.0,ฉันรักฤดูร้อนมากกว่าฤดูไหน,positive,1
1,1.0,สุดยอดเลยค่ะ รักดนตรี,positive,1
2,2.0,สวยมากค่ะ ภาพถ่ายสวย,positive,1
3,3.0,สบายดีในตอนเย็นค่ะ,positive,1
4,4.0,ฉันรักเทศกาลสงกรานต์,positive,1
5,5.0,สุดยอดผู้ชายค่ะ น่ารัก,positive,1
6,6.0,ได้พบเพื่อน cũค่ะ สุขสันต์,positive,1
7,7.0,ได้รับโอกาสใหม่ในชีวิตค่ะ,positive,1
8,8.0,ฉันรักตัวเองและคนรอบข้าง,positive,1
9,9.0,ฉันภูมิใจในทีมของเรา,positive,1
10,10.0,สุดยอดสถานที่ค่ะ วิวสวย,positive,1
11,11.0,สวยมากค่ะ พระราชวัง,positive,1
12,12.0,สุดยอดอาหารค่ะ อร่อยมาก,positive,1
13,13.0,ได้รับปริญญาค่ะ รู้สึกภูมิใจ,positive,1
14,14.0,สุขสันต์วันหยุดค่ะ จะไปเที่ยว,positive,1
15,15.0,ได้พบกับคนที่รักในชีวิต,positive,1
16,16.0,ได้งานใหม่ค่ะ ยินดี,positive,1
17,17.0,สุขสันต์วันเกิดพ่อค่ะ,positive,1
18,18.0,สวยมากค่ะ ทิวทัศน์สวยที่สุด,positive,1
19,19.0,ไปเที่ยวทะเลกันเถอะ น้ำใสกว่าทุกแห่ง,positive,1
20,20.0,ฉันรักแม่ค่ะ,positive,1
21,21.0,งานนี้สำเร็จแล้ววันนี้,positive,1
22,22.0,ฉันรักการเดินทางไปยังเมืองใหม่,positive,1
23,23.0,สุดยอดการแสดงค่ะ น่าตื่นเต้น,positive,1
24,24.0,ได้มาตามหาอย่างรวดเร็วค่ะ,positive,1
25,25.0,สุดยอดบริการค่ะ ทุกคนเอาใจใส่,positive,1
26,26.0,ฉันรักอาหารไทยมากมาย,positive,1
27,27.0,สุขสันต์วันเกิดค่ะ รักรักทุกคน,positive,1
28,28.0,ขอบคุณมากๆ ครับ คุณทำอะไรดีมาก,positive,1
29,29.0,ได้รับการปรึกษาจากอาจารย์ค่ะ,positive,1
30,30.0,ได้รางวัลมาแล้ววันนี้,positive,1
31,31.0,สุดยอดเลยค่ะ รักงานนี้,positive,1
32,32.0,ฉันภูมิใจในตัวฉันเอง,positive,1
33,33.0,ฉันชอบงานศิลป์ค่ะ,positive,1
34,34.0,ได้ทำความฝันสำเร็จค่ะ,positive,1
35,35.0,ทำงานหนัก แต่ได้ผลตอบแทนเยอะค่ะ,positive,1
36,36.0,ได้ซื้อรถใหม่มาแล้ววันนี้,positive,1
37,37.0,สุดยอดเลยค่ะ รักอาหารญี่ปุ่น,positive,1
38,38.0,สุดยอดโรงแรมค่ะ บริการดี,positive,1
39,39.0,สบายดีในตอนเช้าค่ะ,positive,1
40,40.0,ได้รับความสำเร็จในที่สุดค่ะ,positive,1
41,41.0,ฉันรักครอบครัวของฉัน,positive,1
42,42.0,ได้พบใครบางคนค่ะ สุขสันต์,positive,1
43,43.0,ว้าวสุดๆ ไปร้านนั้นครับ,positive,1
44,44.0,สวยมากค่ะ ดอกไม้,positive,1
45,45.0,ได้พบกับคนที่ดีที่สุดในชีวิต,positive,1
46,46.0,ทำงานได้ดีจริงๆ เลย คุณเก่งมาก,positive,1
47,47.0,ได้พบกับผู้นำที่ดีที่สุด,positive,1
48,48.0,ได้รับการยกย่องจากเพื่อนๆ,positive,1
49,49.0,ขอบคุณมากๆ ค่ะ,positive,1
50,50.0,สุดยอดเลยค่ะ ผลงานของคุณ,positive,1
51,51.0,สุดยอดผลิตภัณฑ์ค่ะ ใช้ดี,positive,1
52,52.0,ได้รับการสนับสนุนจากเพื่อนๆ มาก,positive,1
53,53.0,ฉันรักอาหารทะเลมากมาย,positive,1
54,54.0,สวยมากค่ะ ภาพสวยที่สุด,positive,1
55,55.0,สุขสันต์วันเกิดแฟนค่ะ,positive,1
56,56.0,ดีใจมากๆ ที่ได้รับรางวัล,positive,1
57,57.0,ดีใจมากๆ ได้รางวัลค่ะ,positive,1
58,58.0,ฉันรักหนังสือของคุณค่ะ,positive,1
59,59.0,สุดยอดเลยค่ะ การแสดงของพวกเขา,positive,1
60,60.0,ขอบคุณมากมายค่ะ,positive,1
61,61.0,ฉันรักชีวิตฉันอยู่,positive,1
62,62.0,รักเพลงนี้มากๆ เลยค่ะ,positive,1
63,63.0,ได้รับรางวัลค่ะ รู้สึกดี,positive,1
64,64.0,สุดยอดเลยค่ะ รักฟุตบอล,positive,1
65,65.0,ได้รับการสนับสนุนจากผู้คนมากมาย,positive,1
66,66.0,ฉันรักฤดูร้อนค่ะ,positive,1
67,67.0,ได้รับโอกาสในการทำงานใหม่,positive,1
68,68.0,ฉันรักเกมออนไลน์ที่ฉันเล่น,positive,1
69,69.0,สวยดี มีเสน่ห์เยอะเลย,positive,1
70,70.0,ฉันรักอาหารไทยค่ะ,positive,1
71,71.0,ได้รับมิตรแท้ที่ดีที่สุดเลยค่ะ,positive,1
72,72.0,งานนี้ทำได้ดีมากค่ะ,positive,1
73,73.0,สวยดี มีเสน่ห์เยอะเลยค่ะ,positive,1
74,74.0,ว้าวสุดยอดเลยค่ะ,positive,1
75,75.0,ฉันรักฤดูร้อนมากกว่าทุก季节,positive,1
76,76.0,ฉันรักชีวิตฉันอยู่ในตอนนี้,positive,1
77,77.0,ฉันรักอาหารไทยมาก,positive,1
78,78.0,ฉันรักชีวิตค่ะ,positive,1
79,79.0,ฉันรักเพลงไทยสากลมากมาย,positive,1
80,80.0,สุขสันต์วันหยุดยาวค่ะ,positive,1
81,81.0,ว้าวว้าว สิ่งนี้ดีจริงๆ เลย,positive,1
