,id,text,intent,label
0,1252,Astonishing ... -LRB- frames -RRB- profound ethical and philosophical questions in the form of dazzling pop entertainment .,positive,1
1,2074,"A film centering on a traditional Indian wedding in contemporary New Delhi may not sound like specialized fare , but Mira Nair 's film is an absolute delight for all audiences .",positive,1
2,5983,"Aspires to the cracked lunacy of The Adventures of Buckaroo Banzai , but thanks to an astonishingly witless script ends up more like The Adventures of Ford Fairlane .",negative,0
3,1805,Another trumpet blast that there may be a New Mexican Cinema a-bornin ' . ',positive,1
4,3,Yet the act is still charming here .,positive,1
5,1193,"Deflated ending aside , there 's much to recommend the film .",positive,1
6,3912,"As an actor 's showcase , Hart 's War has much to recommend it , even if the top-billed Willis is not the most impressive player .",positive,1
7,6864,"Overwrought , melodramatic bodice-ripper .",negative,0
8,871,"Scooby Doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",positive,1
9,3902,"Everything 's serious , poetic , earnest and -- sadly -- dull .",negative,0
10,1014,"Smart and alert , Thirteen Conversations About One Thing is a small gem .",positive,1
11,420,"Bogdanovich taps deep into the Hearst mystique , entertainingly reenacting a historic scandal .",positive,1
12,5292,"Scherfig , who has had a successful career in TV , tackles more than she can handle .",negative,0
13,2168,"It all plays out ... like a high-end John Hughes comedy , a kind of Elder Bueller 's Time Out .",positive,1
14,5978,The locale ... remains far more interesting than the story at hand .,negative,0
15,5783,A sugar-coated Rocky whose valuable messages are forgotten minutes after the last trombone honks .,negative,0
16,4879,"The Mothman Prophecies , which is mostly a bore , seems to exist only for its climactic setpiece .",negative,0
17,5076,"Bread , My Sweet has so many flaws it would be easy for critics to shred it .",negative,0
18,6493,Charly comes off as emotionally manipulative and sadly imitative of innumerable past Love Story derisions .,negative,0
19,1337,Beautifully reclaiming the story of Carmen and recreating it an in an African idiom .,positive,1
20,4345,"Its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director Roger Avary .",negative,0
21,865,"You do n't need to be a hip-hop fan to appreciate Scratch , and that 's the mark of a documentary that works .",positive,1
22,1332,A giddy and provocative sexual romp that has something to say .,positive,1
23,4687,May cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .,negative,0
24,1372,` What 's the Russian word for Wow !? ',positive,1
25,3205,The picture 's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .,positive,1
26,6038,"As a feature-length film , it wears out its welcome as tryingly as the title character .",negative,0
27,4627,"It 's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt .",negative,0
28,3127,The film 's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature\/nurture argument in regards to homosexuality .,negative,0
29,5702,The fact that the ` best part ' of the movie comes from a -second homage to one of Demme 's good films does n't bode well for the rest of it .,negative,0
30,365,The director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of Truffaut .,positive,1
31,1049,"Leaping from one arresting image to another , Songs from the Second Floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .",positive,1
32,4415,"Outside of Burger 's desire to make some kind of film , it 's really unclear why this project was undertaken",negative,0
33,1186,"As chilling and fascinating as Philippe Mora 's modern Hitler-study , Snide and Prejudice .",positive,1
34,4808,"It 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary .",negative,0
35,3035,"Like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it 's one tough rock .",positive,1
36,5630,More tiring than anything .,negative,0
37,4366,"This movie is so bad , that it 's almost worth seeing because it 's so bad .",negative,0
38,6549,Did we really need a remake of `` Charade ? '',negative,0
39,3585,"Stealing Harvard does n't care about cleverness , wit or any other kind of intelligent humor .",negative,0
