,Unnamed: 0,text,intent,label
0,0.0,"Hotel ini memiliki fasilitas yang lengkap dan modern, sangat recommended!",positive,1
1,1.0,"Saya sangat puas dengan pelayanan bank ini, stafnya sangat helpfull!",positive,1
2,2.0,"Tempat wisata ini sangat menarik, banyak spot foto yang instagramable!",positive,1
3,3.0,"Saya sangat puas dengan pelayanan travel agent ini, sangat helpfull!",positive,1
4,4.0,"Tempat wisata ini sangat indah, view-nya sangat cantik dan udaranya segar!",positive,1
5,5.0,"Saya sangat senang dengan aplikasi transportasi online ini, sangat mudah digunakan!",positive,1
6,6.0,"Makanan di sini sangat enak, especially the nasi gorengnya yang sangat lezat!",positive,1
7,7.0,"Resto ini memiliki suasana romantis, cocok untuk dinner tanggal!",positive,1
8,8.0,"Kualitas produk elektronik ini sangat tinggi, harganya juga sangat kompetitif!",positive,1
9,9.0,"Saya sangat puas dengan layanan hotel ini, stafnya sangat ramah dan helpful!",positive,1
10,10.0,"Karyawan di sini sangat ramah dan sopan, membuat saya sangat nyaman!",positive,1
11,11.0,"Hotel ini sangat strategis, letaknya sangat dekat dengan pusat kota!",positive,1
12,12.0,"Saya sangat puas dengan layanan hotel ini, staffnya sangat ramah dan helpful!",positive,1
13,13.0,"Makanan di sini sangat lezat, especially their signature dish, nasi lemak!",positive,1
14,14.0,"Wisma ini sangat strategis, letaknya sangat dekat dengan stasiun kereta api!",positive,1
15,15.0,"Pusat perbelanjaan ini sangat lengkap, banyak promo menarik dan diskon besar-besaran!",positive,1
16,16.0,"Saya sangat puas dengan hasil olahraga di gym ini, instruktur nya sangat profesional!",positive,1
17,17.0,"Villa ini sangat cantik, view-nya sangat indah dan suasana sangat tenang!",positive,1
18,18.0,"Liburan ke Bali sangat menyenangkan, banyak aktivitas seru yang bisa dilakukan!",positive,1
19,19.0,"Makanan di sini sangat enak, especially their signature dish, rendang sapi!",positive,1
20,20.0,"Rumah makan ini sangat populer, makanannya sangat enak dan murah!",positive,1
21,21.0,"Wisata air terjun ini sangat mengagumkan, pemandangannya sangat indah!",positive,1
22,22.0,"Restoran ini memiliki suasana yang romantis, cocok untuk dinner tanggal!",positive,1
23,23.0,"Saya sangat senang dengan pelayanan ojek online ini, driver-nya sangat sopan dan helpfull!",positive,1
24,24.0,"Kamar hotel ini sangat luas dan bersih, sangat recomended!",positive,1
25,25.0,"Menu makanan di sini sangat variatif, saya sangat suka dengan salad-nya!",positive,1
26,26.0,"Dokter gigi ini sangat professional, membuat saya merasa aman!",positive,1
27,27.0,"Pusat perbelanjaan ini sangat lengkap, banyak diskon dan promo menarik!",positive,1
28,28.0,"Tempat wisata ini sangat indah, suasana damai dan tenang, perfect untuk liburan!",positive,1
29,29.0,"Resto ini memiliki konsep unik, makanannya sangat enak dan presentationnya sangat cantik!",positive,1
30,30.0,"Spa ini sangat recommended, pijatan-nya membuat saya relaks!",positive,1
31,31.0,"Saya sangat merekomendasikan travel agent ini, mereka sangat profesional dan helpful!",positive,1
32,32.0,"Mall ini sangat modern, banyak tenant-tenant ternama dan wahana hiburan!",positive,1
33,33.0,"Saya sangat merekomendasikan resto ini, harga murah dan rasanya sangat enak!",positive,1
34,34.0,"Saya sangat senang dengan pemesanan online ini, prosesnya sangat mudah dan cepat!",positive,1
35,35.0,"Pelayanan di sini sangat baik, mereka sangat memperhatikan pelanggan!",positive,1
36,36.0,"Saya sangat merekomendasikan guru les privat ini, anak saya sangat senang!",positive,1
37,37.0,"Saya sangat senang dengan festival budaya ini, acaranya sangat meriah!",positive,1
38,38.0,"Buku ini sangat inspiratif, membuat saya ingin mencari tujuan hidup!",positive,1
39,39.0,"Saya sangat puas dengan kualitas mobil ini, performanya sangat baik!",positive,1
40,40.0,"Saya sangat senang dengan pemesanan tiket pesawat online ini, sangat mudah dan cepat!",positive,1
41,41.0,"Saya sangat merekomendasikan tour guide ini, mereka sangat informatif dan friendly!",positive,1
42,42.0,"Saya sangat puas dengan hasil treatment spa di sini, sangat relaxing!",positive,1
43,43.0,"Hotel ini memiliki fasilitas yang lengkap, membuat saya merasa seperti di rumah sendiri!",positive,1
44,44.0,"Saya sangat puas dengan hasil potret dari studio foto ini, very recommended!",positive,1
45,45.0,"Saya baru mencoba resto ini dan wow, makanannya sangat lezat dan fresh!",positive,1
46,46.0,"Tempat ini sangat recomended untuk anak-anak, banyak wahana permainan yang seru!",positive,1
47,47.0,"Produk kosmetik ini sangat aman dan efektif, recommended untuk wanita!",positive,1
48,48.0,"Toko ini menjual produk-produk berkualitas, harganya sangat kompetitif!",positive,1
49,49.0,"Wisma ini sangat strategis, dekat dengan pusat kota dan transportasi umum!",positive,1
50,50.0,"Saya sangat senang dengan konser musik ini, penampilannya sangat memukau!",positive,1
51,51.0,"Hotel ini memiliki breakfast yang sangat lezat, variasinya sangat banyak!",positive,1
52,52.0,"Saya sangat kagum dengan kemahiran chef di sini, membuatkan saya ingin balik lagi!",positive,1
53,53.0,"Tempat wisata ini sangat indah, pemandangannya sangat memesona!",positive,1
54,54.0,"Saya sangat senang dengan hasil potret dari studio foto ini, very professional!",positive,1
55,55.0,Saya baru mencoba resto ini dan langsung jatuh cinta dengan suasana romantisnya!,positive,1
56,56.0,"Buku-buku di sini sangat lengkap, harga juga sangat terjangkau!",positive,1
57,57.0,"Pemandangan pantai ini sangat indah, membuat saya ingin tinggal lebih lama!",positive,1
58,58.0,"Tempat spa ini sangat relaksing, pijatan nya sangat enak!",positive,1
59,59.0,"Kamar hotel ini sangat luas dan bersih, membuat saya merasa sangat nyaman!",positive,1
60,60.0,"Hotel ini sangat nyaman, kamarnya luas dan fasilitasnya lengkap!",positive,1
61,61.0,"Makanan di sini sangat variatif, banyak pilihan menu yang enak-enak!",positive,1
62,62.0,"Layanan internet ini sangat cepat, tidak ada buffering sama sekali!",positive,1
63,63.0,"Tempat ini sangat cocok untuk meeting atau acara bisnis, sangat profesional!",positive,1
64,64.0,"Pelayanan oke, harga terjangkau, dan kualitas produknya sangat baik!",positive,1
65,65.0,"Toko online ini sangat terpercaya, barangnya datang cepat dan sesuai ekspektasi!",positive,1
66,66.0,"Saya sangat senang dengan pelayanan dokter di sini, sangat profesional dan care!",positive,1
67,67.0,"Saya sangat puas dengan hasil potret dari studio foto ini, sangat profesional!",positive,1
68,68.0,"Produk fashion ini sangat trendy, harganya juga sangat affordable!",positive,1
69,69.0,"Pemandangan pantai di sini sangat indah, sangat cocok untuk liburan!",positive,1
70,70.0,"Saya sangat senang dengan konser musik ini, penampilannya sangat enerjik!",positive,1
71,71.0,"Rute hiking ini sangat indah, pemandangannya sangat spektakuler!",positive,1
72,72.0,"Hotel ini memiliki fasilitas yang sangat baik, kolam renangnya sangat luas dan bersih!",positive,1
73,73.0,"Resto ini memiliki suasana yang cozy dan romantic, perfect for dinner date!",positive,1
74,74.0,"Harga produk ini sangat terjangkau, kualitasnya juga sangat baik!",positive,1
75,75.0,"Saya sangat puas dengan pelayanan bank ini, customer servicenya sangat baik!",positive,1
76,76.0,"Resto ini sangat populer, banyak orang datang kesini untuk mencicipi makanan enak!",positive,1
77,77.0,"Saya senang sekali dengan produk kosmetik ini, kulit wajah saya menjadi lebih cerah!",positive,1
78,78.0,"Fasilitas hotel ini sangat modern, membuat saya merasa seperti di negeri maju!",positive,1
79,79.0,"Tempat ini sangat strategis, dekat dengan pusat kota dan transportasi umum!",positive,1
80,80.0,"Makanan di sini sangat halal, cocok untuk umat muslim, recommended!",positive,1
81,81.0,"Saya sangat puas dengan fitness center ini, equipmenonya sangat modern dan lengkap!",positive,1
82,82.0,"Saya sangat senang dengan hasil foto dari studio ini, sangat profesionall!",positive,1
83,83.0,"Saya sangat merekomendasikan travel agent ini, mereka sangat membantu dan professional!",positive,1
84,84.0,"Aplikasi ini sangat membantu, membuat pekerjaan saya lebih efisien!",positive,1
85,85.0,"Makanan di sini sangat variatif, ada banyak pilihan untuk vegetarian!",positive,1
86,86.0,"Villa ini sangat cantik, view-nya langsung menghadap ke laut!",positive,1
87,87.0,"Wisata kuliner di sini sangat beragam, banyak makanan enak dan unik!",positive,1
88,88.0,"Resto ini memiliki menu yang variatif dan enak-enak, harganya juga terjangkau!",positive,1
89,89.0,"Saya sangat merekomendasikan resto ini, harga murah dan rasa makanannya sangat enak!",positive,1
90,90.0,"Kamar hotel ini sangat luas dan bersih, sangat comfortable!",positive,1
91,91.0,"Saya sangat kagum dengan desain interior hotel ini, sangat stylish!",positive,1
92,92.0,"Saya sangat kagum dengan koleksi barang-barang antik di museum ini, sangat unik!",positive,1
93,93.0,"Saya sangat merekomendasikan tour guide ini, mereka sangat profesional!",positive,1
94,94.0,"Hotel ini memiliki fasilitas yang sangat baik, kolam renangnya sangat besar!",positive,1
95,95.0,"Menu breakfast di sini sangat komplit dan enak, sangat worth it!",positive,1
96,96.0,"Saya sangat senang dengan live music di cafe ini, sangat energetic!",positive,1
97,97.0,"Toko ini menjual barang-barang unik dan berkualitas, harganya sangat kompetitif!",positive,1
98,98.0,"Tempat wisata ini sangat indah, pantainya sangat bersih dan airnya sangat jernih!",positive,1
99,99.0,"Pengalaman saya menggunakan aplikasi ini sangat positif, mudah digunakan!",positive,1
100,100.0,Saya sangat kecewa dengan layanan pelanggan yang buruk dari PT XYZ.,negative,0
101,101.0,"Saya tidak suka dengan sikap orang tua saya, sangat otoriter.",negative,0
102,102.0,Saya sangat sedih melihat kondisi anak-anak jalanan yang tidak terurus.,negative,0
103,103.0,"Pemilihan umum tahun ini sangat tidak adil, hasilnya pasti curang.",negative,0
104,104.0,Pemerintahan ini gagal dalam meningkatkan ekonomi rakyat.,negative,0
105,105.0,Kita butuh perubahan besar dalam sistem politik kita.,negative,0
106,106.0,"Orang tua saya sangat keras kepala, tidak mau mendengar saran saya.",negative,0
107,107.0,"Jalan tol Jakarta-Cikampek masih rusak parah, kenapa belum diperbaiki?",negative,0
108,108.0,Saya tidak percaya dengan janji-janji politisi yang manis-manis.,negative,0
109,109.0,Saya sangat marah karena uang saya hilang dicuri orang lain.,negative,0
110,110.0,Kita harus sadar bahwa negeri ini sedang menuju kehancuran.,negative,0
111,111.0,Merekalah yang menyebabkan kerugian besar bagi bangsa kita.,negative,0
112,112.0,Perluasan wilayah industri hanya akan membuat lingkungan kita makin rusak.,negative,0
113,113.0,Banyak guru-guru kita yang tidak profesional dan tidak peduli siswanya.,negative,0
114,114.0,Saya sedih melihat anak-anak jalanan yang tidak memiliki masa depan cerah.,negative,0
115,115.0,Saya muak dengan sikap angkuh para elit politik.,negative,0
116,116.0,Banyak korban jiwa karena kecelakaan lalu lintas yang tak berkesudahan.,negative,0
117,117.0,Kualitas udara di Jakarta sangat buruk bagi kesehatan.,negative,0
118,118.0,Bagaimana bisa mereka begitu tega melakukan kesalahan seperti itu?,negative,0
119,119.0,"Saya merasa tertipu dengan produk tersebut, tidak sesuai dengan janji-janji mereka.",negative,0
120,120.0,Kita harus waspada dengan oknum-oknum yang hanya mencari keuntungan sendiri.,negative,0
121,121.0,Saya sangat kecewa dengan hasil pemilihan umum tahun lalu.,negative,0
122,122.0,"Sistem transportasi publik kita sangat buruk, tidak efisien.",negative,0
123,123.0,Indonesia masih tertinggal jauh dalam hal teknologi.,negative,0
124,124.0,Masyarakat kita masih belum sadar akan pentingnya pendidikan.,negative,0
125,125.0,Saya tidak senang dengan perlakukan diskriminatif terhadap minoritas.,negative,0
126,126.0,"Mereka hanya peduli tentang popularitas, tidak peduli dengan substansi.",negative,0
127,127.0,Negeri ini makin rusak karena korupsi dan nepotisme.,negative,0
128,128.0,"Mereka selalu berjanji tapi tidak pernah menepati janjinya, sungguh menyebalkan!",negative,0
129,129.0,"Kondisi jalanan di sini sangat parah, membuat saya frustrasi setiap hari.",negative,0
130,130.0,Kita masih belum bisa menghadapi tantangan global.,negative,0
131,131.0,"Harga barang-barang elektronik naik terus, sangat memberatkan.",negative,0
132,132.0,"Tidak ada kemajuan di negeri ini, hanya penindasan dan kesengsaraan.",negative,0
133,133.0,Politik di negeri ini hanya membuat kita makin frustrasi.,negative,0
134,134.0,Kondisi lingkungan hidup kita makin memprihatinkan.,negative,0
135,135.0,"Saya sangat kecewa dengan hasil pemilu, tidak adil dan curang.",negative,0
136,136.0,"Saya muak dengan sistem pendidikan kita, terlalu korupsi.",negative,0
137,137.0,Saya tidak percaya bahwa masih ada orang yang mendukung rezim ini.,negative,0
138,138.0,"Kualitas produk ini sangat rendah, tidak worth it untuk dibeli.",negative,0
139,139.0,"Saya sangat sedih melihat kondisi anak-anak jalanan, tidak memiliki masa depan.",negative,0
140,140.0,Menteri-menteri kita lebih peduli tentang jabatan daripada rakyat.,negative,0
141,141.0,Sistem pendidikan kita masih sangat kurang baik.,negative,0
142,142.0,"Saya tidak suka dengan cara kerja bos saya, sangat otoriter.",negative,0
143,143.0,"Saya sangat kecewa dengan layanan pelanggan mereka, tidak responsif dan lambat.",negative,0
144,144.0,Kondisi infrastruktur di sini sangat memprihatinkan.,negative,0
145,145.0,Saya merasa sangat frustrasi dengan kemacetan lalu lintas setiap hari.,negative,0
146,146.0,Saya muak dengan sikap orang-orang yang tidak bertanggung jawab.,negative,0
147,147.0,"Saya sangat kecewa dengan layanan pelanggan mereka, tidak responsif dan lamban.",negative,0
148,148.0,"Jangan percaya kepada mereka, mereka hanya akan mengecewakan Anda.",negative,0
149,149.0,Orang-orang seperti dia membuat saya malu menjadi manusia.,negative,0
150,150.0,Mereka telah gagal memberikan apa yang dijanjikan kepada kita.,negative,0
