,id,text,intent,label
0,4696,"saya bangga terhadap jokowi meskipun memang pilpres sudah dekat , beliau ke banten tidak hanya untuk kampanye tetap tetap bekerja .",positive,1
1,34,di sini tidak cuma jual kopi aja . cemilan juga ada . pelayana nya standar dan tempat nya rada kurang nyaman saja sih buat kumpul,negative,0
2,7599,bakmi ini adalah makanan wajib jika berkunjung ke bandung . yamin asin nya rasanya luar biasa ditambah bakso goreng yang mantap . daging di atas mi - nya banyak . bakmi naripan ini ada cabang nya di riau junction cuma rasanya beda antara di naripan dan riau junction . lebih enak yang ada di jalan naripan . sayang nya parkiran nya suka susah kalau di jalan naripan .,positive,1
3,3801,"nasi putih mungkin belum terlalu terkenal tapi masakan di tempat ini sangat layak untuk dicoba . suasana restoran menyenangkan , terkesan teduh dan tenang . makanan yang disajikan juga sangat menarik dan sangat indonesia .",positive,1
4,1603,"jadi saya dan suami berkunjung ke sini karena di kafe sekitar situ antrian nya gila . karena sudah terlalu lapar , kami ke sini . waktu itu hujan dan lagi ada acara pernikahan . cuaca nya dingin banget karena kebetulan dapat tempat duduk di luar . menyenangkan buat duduk berlama-lama . makanan nya enak dan penuh cita rasa . harga nya pun menurut saya sesuai dengan rasanya .",positive,1
5,5662,"tidak enak nya punya hobi beberes itu , setiap pagi kadang bingung mau beberes apa lagi . sepertinya harus membuat pola rutinitas baru agar tidak bosan .",negative,0
6,4779,harga > rasa > porsi . cukup ini yang menggambarkan . sebenarnya sih sudah tahu harga nya cuma syok saja melihat model nya . seperti kelamaan dikukus jadi basah2 lembek begitu . hmm . bingung menyarankan coba atau tidak . lebih baik enggak sih .,negative,0
7,6005,pokok nya yang berbau pdip benamkan .,negative,0
8,4210,"sebenarnya sudah ada kepikiran untuk merayakan ulang tahun istri tercinta di restoran ini karena sebelumnya sudah pernah ke sini juga dan mendapat hasil yang baik , awal nya saya melakukan reservasi terlebih dahulu melalui telepon dan disetujui untuk membuat kejutan birthday , dibantu dengan salah seorang pegawai nya mbak della sehingga mendapat pelayanan yang baik , momen birthday yang mengesankan , pemandangan yang bagus serta nyanyian selamat ulang tahun dari accoustic .",positive,1
9,1752,"banyak makanan pilihan saya suka pepes jamur , belut goreng dan gepuk rasanya enak , sambal nya ada beberapa macam dan sayuran segar lalapan",positive,1
10,6548,"penasaran sama resto braga permai yang banyak di perbincangkan di sosial media . satu saat pergi ke sana setelah makan malam di salah satu restoran di jalan sumatera . kami mencoba cheese cake dan sejenis decadence cake tapi lupa nama pasti nya soal nya sudah sekitar bulan juni 2015 , tak hanya mengobati penasaran tapi kami menikmati suasana nya yang memang seperti membawa kita ke surga nya dunia .",positive,1
11,4709,"asik banget pakai traveloka , diskon hotel sampai satu jutaan ! kita bisa langsung cek promo kemerdekaan . banyak harga spesial hotel untuk berbagai hotel di dalam negeri . seneng deh .",positive,1
12,6503,"rakyat indonesia lebih kecewa , ini bukan settingan kayak sinetron . ini asli , rakyat indonesia kecewa tidak bisa nonton asian games . ingat , sctv bisa menjadi besar sekarang karena rakyat indonesia bukan india . atau sinetron tidak jelas .",negative,0
13,7888,"beli kerupuk dan makanan khas bandung lain yang rasanya enak , tempat terjangkau dan harga sesuailah . boleh berkunjung ke sana untuk mendapat oleh-oleh dengan citarasa terbaik",positive,1
14,1550,"makanan yang ditawarkan variatif banget , mulai dari orang cina makanan , indonesian food , makanan barat , japanese . sampai jajanan-jajanan seperti lumpia basah , jagung bakar . sangat ramai di malam hari , ditambah dengan parkiran dan akses nya harus menggunakan kendaraan .",positive,1
15,1170,soun claypot nya enak . udang nya besar-besar . salad ubar-ubar nya juga enak . suki nya banyak macam nya . saus nya enak . sayang harga nya mahal sekali . makan per-8 habis kurang lebih 2 juta rupiah . jadi berpikir dua kali kalau mau ke sini lagi .,negative,0
