,id,text,intent,label
0,0,ב ה הצלחה !,positive,1
1,1,ב ה הצלחה אני מאמינה ב אתה,positive,1
2,2," ב הצלחה ב בחירות ל נשיאות . מתפללים ל הצלחתך.ובע""ה ה נשיא ה בא של מדינת ישראל . ",positive,1
3,3,הלו ..... להרגע ו מהר .... זה נשיא ה מדינה !!!,positive,1
4,4,מסכן יהי זכרו ב ה רוך !!!,positive,1
5,5," , כבוד ה נשיא ריבלין , הפגנת אצילות נפש ה לב נשבר על מות ה מלאך ה קטן ו ה חמוד ",positive,1
6,6," אדוני נשיא ה מדינה , אני מוקירה את אתה ו מעריכה את תגובתך ה מכובדת ו חשוב מאוד ש נשמור על ה מרקם ה חברתי , ה היסטורי ו ה אנושי ש רקמנו ביחד ב ארץ ה קודש ה יקרה ל כולנו .... ישר כח ",positive,1
7,7,מישהו ב מקרה זוכר מילה זו : RASSENSCHANDE ?,positive,1
8,8,איזה כיף ל הוא ש את היא ה סבא של הוא ! יחי נשיא מדינת ישראל זכינו בגדול !!!,positive,1
9,9,בריאות ו אריכות ימים מ כל ה לב .,positive,1
10,10," אדוני ה נשיא אתה ממשיך לא להפתיע את אני תמיד ידעתי ש אתה איש ישר ו אמתי . אני אישית נגד נשואי תערובת אבל כמו ש אמרת דמוקרטיה זה שם ה משחק ו לצערי המון אזרחים יודעים לכתוב את ה מילה דמוקרטיה אבל בכלל לא מתייחסים ל תוכן של היא , או לא מבינים מה זאת דמוקרטיה , ו אני שמח ש נזעקת להסביר ל כל ה אנטי דמוקרטים מה היא דמוקרטיה . כל ה כבוד אדוני ה נשיא ",positive,1
11,11,אוהבת לראות את אתה נשיא !,positive,1
12,12,כמה נוגע ל ה לב,positive,1
13,13," את מה ש אנו מתלבטים לומר , כותבת ה תורה ב 3 מילים -  "" ו היא לא תצלח "" "" . יש מגמות מלאות עוצמה ו שרירים ש נועדו מראש ל כישלון . הן משתייכות ל משפחת ה מעפילים ב ה הר . האם יתכן באמת להקים מציאות יהודית , מדינה בעלת הווה ו עתיד , מתוך התנערות מוצהרת מ תורה , מצוות ו אמונה ? ה שאלה ה זו מופנית אל אנחנו , ה אנשים ה מאמינים ב ה ה' ו ב משה עבדו ו ב סתר לב מייחלים ש ה דרגים ה מדיניים יחלו לקבל ' החלטות אמיצות' , יכתשו את ה חמאס ו יפסיקו כבר לעשות ל אנחנו בושות בינלאומיות . הנה סגולה בדוקה ל שיבה ל שפיות ה שקפתית : ציירו ל עצמכם מדי פעם , ב שעה ש הינכם שבים מ בית הכנסת בליל שבת , מתכוננים בדחילו ל קידוש ו ל סעודה , ו כשהילד ה קטן שולח אצבע ש וגגת למתג ה חשמל מזנקים ב ה בהלה ' ש בת ! ' , ו ב אתן ב את היא שעה ה אנשים ש ישיבו ל אנחנו את ה ביטחון ו יקבלו החלטות אסטרטגיות ל גאולת ציון , מחללים שבת ב ניחותא ו לא מטעמי פיקוח נפש . מ נשנשים סטייק בשרי עם גבינה צהובה ו צוברים איסורי כריתות ב ה שגרה . לימוד זכות ? כן בוודאי . כולם תינוקות ש נשבו ו לכן יחסנו כלפי הם אמור להיות כאל פגים ב אינקובטור : המון חמלה , הרבה תפילות . אבל אנא , לא עליכם תקוותנו . חיים משותפים - כן . נישואים משותפים לא !! האם תפקידה של ה סוכנות ה יהודית לא כולל בין ה שאר מ ניעת התבוללות ב תפוצות ? אז מה הם יגידו עכשיו אם פה ב ה ארץ ישראל מעיזים לעשות חתונה ש כל מהותה זה התבוללות , ו עוד ב פרהסיה ? עד ש אתם באים להטיף ל אנחנו על התבוללות תראו מה קרה את היא אצל אתם ב ה ארץ , תהיה ה תשובה . הרי לערבי אסור להתחתן עם יהודיה ו משמעות ה דבר ש היא התאסלמה או צריכה להתאסלם . אילו זו היתה בתך גם היית מדבר ככה . בושה ןחרפה ל אדם ש רואה את עצמו כ מסורתי . אתה כנראה באמת מסור - T. מנסר מ ה יהדות את כל מה ש קשה ל אתה לקבל או לקיים . """,negative,0
14,14,עוד שמאלני ב הסוואה,negative,0
15,15,אמן ! שבת שלום ו ב שורות טובות !,positive,1
16,16," אם ה חתונה היתה נערכת ב אמריקה ל אף אחד לא היה איכפת מ ה עניין כי עובדתית זה קרה את היא ש יש זוגות מעורבים ב ה עולם ש אנחנו בכלל לא יודעים עליהם . אם זו ה בחירה של היא ש יבושם ל היא , אם יהיה ל היא טוב או רע זו בעיה של היא . ו ה נשיא ה יקר של אנחנו התכוון בגדול לכבוד ה אדם חירותו ו הוא עוד טען ש לא שינה את היא מה דעתו ה אישית ל צורך ה עניין כך ש אם אנשים לא מבינים את ה כתוב טוב יעשו אם לא יגיבו .  "" סייג ל חוכמה ש תיקה' """,positive,1
17,17,די אני ל ה דתיות ה פנאטית ה זאת ש מפלגת בני אדם בלי שום סיבה הגיונית . יש פה מאבק בין מחנה ש רוצה אחווה אנושית ל ה מחנה ש רוצה פילוג אנושי . לא קשה לראות איזה צד יתאים יותר לעולם שמח .,positive,1
18,18,סוף סוף נשמע קול ה שפיות . תודה ל אתה !,positive,1
19,19," אי אפשר ל היות אדיש ל תמימות של דניאל ה קטן , איך לא היצלחנו להגן על הוא ? ",positive,1
