,id,text,intent,label
0,1174,"Scorul final a fost victoria la diferență de un punct, 21 la 20, punând capăt seriei de 15 victorii ale echipei All Blacks.",sports,3
1,1359,"Leii sunt felinele cele mai sociale, trăind în grupuri mari numite haite.",science/technology,0
2,329,"În timpul petrecut la echipă, a marcat 403 de goluri în 468 de ieșiri pe teren.",sports,3
3,1787,"Agenții de voiaj de obicei ofertă pachete care includ micul dejun, transport la și de la aeroport sau chiar pachete care combină zborurile și cazarea la hotel.",travel,1
4,198,"„«În afară de febră și de durere în gât, mă simt bine și sunt apt să-mi continui lucrul de acasă.",health,4
5,450,"Regiunea Serengeti include Parcul Național Serengeti, Zona de Conservare Ngorongoro și Rezervația de Vânătoare Maswa din Tanzania, precum și Rezervația Națională Maasai Mara din Kenya.",geography,6
6,1412,"Congresul nu avea nicio putere de a impune taxe și, pentru că nu exista autoritate executivă sau judiciară la nivel național, se baza pe autoritățile statale, adesea necooperante, pentru a-i pune în aplicare deciziile.",politics,2
7,1892,"Dacă ați reveni acasă după ce ați locuit în străinătate, v-ați fi adaptat deja la noua cultură și v-ați fi pierdut din obiceiurile din cultura natală.",travel,1
8,1005,"La sfârșitul lui 2017, Siminoff a apărut la canal de televiziune de cumpărături QVC.",entertainment,5
9,349,Oamenii de știință lucrează pentru a crea un reactor care poate produce energie în același mod.,science/technology,0
10,33,Piquet Jr. a fost concediat după Marele Premiu al Ungariei din 2009.,sports,3
11,664,Vacanțele la Walt Disney World sunt un pelerinaj important pentru multe familii americane.,travel,1
12,754,"Câteva hoteluri au o moștenire din epoca glorioasă a căilor ferate cu aburi și a navelor maritime; de dinainte de al Doilea Război Mondial, din secolul 19 și începutul secolului 20.",travel,1
13,944,"De asemenea, poate fi un bun mod de a lungi bugetul pentru a permite o ședere mai îndelungată undeva, din moment ce multe servicii voluntare oferă cazare și mâncare, iar câteva plătesc un mic salariu.",travel,1
14,1027,"Deoarece penele de dinozaur nu au un ax bine dezvoltat, numit rahis, dar prezintă alte elemente caracteristice ale penelor – barbe și barbule – cercetătorii au concluzionat că rahisul a fost probabil o dezvoltare evolutivă apărută după celelalte caracteristici.",science/technology,0
15,831,"În trenurile cu cușetă, pașapoartele pot fi colectate de către conductor, astfel încât să nu trebuiască să vă întrerupeți somnul.",travel,1
16,48,"Dl Reid a reușit să conducă mașina A1 GP a Noii Zeelande, Black Beauty, la viteze de peste 160 km/oră, de șapte ori peste pod.",sports,3
17,1724,Numele teritoriului Hong Kong este dat de insula Hong Kong și este locul pe care mulți turiști îl privesc ca și punctul central.,travel,1
18,1737,"Împărțirea unui taxi este un mod rapid și confortabil de a călători spre obiectivele apropiate, cum ar fi Paro (150 Nu) sau Punakha (200 Nu).",travel,1
19,816,"Go Running Tours, care a succedat Global Running Tours, pune în legătură zeci de furnizori de trasee de pe patru continente.",sports,3
20,1160,"După ce oficialii verifică identitatea alegătorului, acesta lasă plicul în urna de voturi și semnează lista de votare.",politics,2
21,1792,"Adu-ți aminte că, deși muzica de pe scenele principale s-a terminat, pot exista secțiuni ale festivalului care vor continua să redea muzică până noaptea târziu.",entertainment,5
22,361,Fotonii sunt chiar mai mici decât lucrurile care alcătuiesc atomii!,science/technology,0
23,1732,"Sundarbans acoperă o suprafață de 3850 km², din care aproximativ o treime este de află acoperite de apă/mlaștină.",geography,6
24,1812,"Politicile de anulare variază, dar, la sfârșitul lui martie, politicile de anulare din motive de coronavirus nu se extindeau până la iulie 2020, când fuseseră programate Olimpiadele.",sports,3
25,1109,Primele cazuri de boală din acest sezon au fost raportate la sfârșitul lunii iulie.,health,4
26,24,A contribuit cu 2 goluri și 2 pase la victoria cu 5-3 a echipei Washington în fața celor de la Atlanta Thrashers.,sports,3
27,457,Un alt dezavantaj al lentilelor pentru zoom este acela că apertura maximă (viteza) a lentilei este de obicei mai mică.,science/technology,0
28,743,"Insulele Cook nu au niciun oraș, ci sunt compuse din 15 insule diferite. Cele mai importante sunt Rarotonga și Aitutaki.",geography,6
