,id,text,intent,label
0,4072,bisakah kamu kecilkan suara itu,audio_volume_down,1
1,10015,beritahu saya cara memasak ayam goreng dalam lima kalimat,cooking_recipe,3
2,9741,lanjutkan pemutaran audiobook,play_audiobook,6
3,7737,hapus acara pesta ulang tahun dika dari kalender saya,calendar_remove,2
4,8544,hapus semua acara kalender saya,calendar_remove,2
5,1541,saya tidak ingin membawa payung apakah hari ini akan hujan,weather_query,9
6,1654,seberapa dingin selasa depan,weather_query,9
7,2326,bagaimana cuacanya,weather_query,9
8,5007,hari apa alarm saya diatur,alarm_query,0
9,10239,berikan saya instruksi tentang bagaimana cara memasak ayam,cooking_recipe,3
10,10088,berikan saya resep untuk bakso,cooking_recipe,3
11,12616,aku mau pesan tiket kereta ekonomi dari jakarta ke malang,transport_ticket,8
12,4963,turunkan volume,audio_volume_down,1
13,6004,apakah saya perlu membawa payung hari ini,weather_query,9
14,8682,hapus acara,calendar_remove,2
15,11671,beritahu saya film apa yang diputar di depok malam ini,recommendation_movies,7
16,9854,lanjutkan audio twilight,play_audiobook,6
17,9989,bagaimana cara saya belajar memasak,cooking_recipe,3
18,16565,kirim email ke ibu tentang makan siang,email_sendemail,5
19,1104,bagaimana cuaca saat ini di samarinda,weather_query,9
20,96,apakah sedang hujan,weather_query,9
21,16238,kirim email,email_sendemail,5
22,5144,beri tahu kapan hari akan hujan berdasarkan perkiraan cuaca,weather_query,9
23,3927,seberapa tebal salju turun di maine sejak kemarin,weather_query,9
24,15758,hai surel ke dodi tentang rapat kita,email_sendemail,5
25,7921,hapus semua acara yang dijadwalkan,calendar_remove,2
26,3773,bisakah kamu berikan laporan cuaca,weather_query,9
27,1485,daftar semua alarm,alarm_query,0
28,16946,balas email yang diterima,email_sendemail,5
29,10188,gimana cara rebus pinggang babi,cooking_recipe,3
30,8471,hapus semua acara bulan lalu dari kalender,calendar_remove,2
31,16118,kirim bantuan hanya ke jane,email_sendemail,5
32,9181,tolong hapus pengingat hari ulang tahun saya untuk pekan depan,calendar_remove,2
33,7962,format kalender,calendar_remove,2
34,16378,alexa kirim email ke ibu sekarang,email_sendemail,5
35,4294,beri tahu saya tentang pengingat yang saya atur,alarm_query,0
36,9919,apa resep untuk saus pasta,cooking_recipe,3
37,10074,bagaimana cara memasak telur goreng setengah matang,cooking_recipe,3
38,10578,hapus acara cari data saya,calendar_remove,2
39,7987,hapus acara ini dari kalender aku,calendar_remove,2
40,3403,apakah akhir pekan ini akan cerah,weather_query,9
41,16439,ada email saya ingin anda kirimkan ke teman saya,email_sendemail,5
42,9945,temukan resep terpopuler untuk tacos,cooking_recipe,3
43,7159,tolong ulangi dan hapus semua entri di kalender,calendar_remove,2
44,10204,jelaskan cara memanggang steak,cooking_recipe,3
45,1642,tidak tidak turunkan,audio_volume_down,1
46,8183,bisakah anda mengeluarkan janji temu dokter gigi dari kalender saya,calendar_remove,2
47,17114,bisakah kamu membalas surat elektronik,email_sendemail,5
48,11984,olly siapa yang tampil di golden monkey,recommendation_movies,7
49,9195,hapus acara ini dari pemberitahuan kalender saya,calendar_remove,2
50,7696,hapus pertemuan yang dijadwalkan tanggal empat oktober jam dua belas siang,calendar_remove,2
51,9777,lanjutkan dilan,play_audiobook,6
52,3879,bagaimana cuaca di kediri,weather_query,9
53,9698,lanjutkan memutar pilihan audiobook saya yang paling terbaru,play_audiobook,6
54,7954,bisakah anda menghapus pesta yang akan saya datangi akhir pekan ini di kalender saya,calendar_remove,2
55,4133,berapa inci ketebalan salju di jakarta hari ini,weather_query,9
56,8636,bisakah anda menghapus janji temu dokter saya hari selasa,calendar_remove,2
57,8772,hapus jadwal perjalanan tanggal empat juli,calendar_remove,2
58,9665,putar ulang audiobook sebanyak tiga puluh detik,play_audiobook,6
59,1263,ada berapa alarm yang saya punya,alarm_query,0
60,16058,balas pesan kethut dan katakan aku akan menghadiri pestanya,email_sendemail,5
61,16212,email ayah bagaimana cuaca minggu ini,email_sendemail,5
62,2078,tolon turunkan volume sedikit,audio_volume_down,1
63,791,tampilkan cuaca tertinggi minggu ini,weather_query,9
64,16127,kirim email ke dinda karina,email_sendemail,5
65,10007,olly perlihatkan cara untuk membuat es krim,cooking_recipe,3
66,3292,berapa jam perbedaan antara pasifik dan pusat,datetime_convert,4
67,15962,tarik pandangan saya perlu mengirim surel,email_sendemail,5
68,16595,teruskan email,email_sendemail,5
69,3770,daftar alarm,alarm_query,0
70,12855,pesankan tiket hari ini di website traveloka untuk informasi yang disimpan,transport_ticket,8
71,10006,bagaimana cara masak nasi,cooking_recipe,3
72,15888,bisakah anda mengumpulkan daftar restoran lokal dan mengirimkannya melalui email ke suami saya,email_sendemail,5
73,16600,saya ingin mengirim email ke teman saya zaki at gmail dot com,email_sendemail,5
74,7307,hapus semua acara di bulan ini,calendar_remove,2
75,4766,apakah saya akan membutuhkan mantel pagi ini,weather_query,9
76,5467,apakah butuh kaca mata hitam,weather_query,9
77,16174,kirim email ke bos isinya sedang tidak enak badan mau ambil cuti sakit,email_sendemail,5
78,12356,saya butuh tiket kereta,transport_ticket,8
79,1250,apakah ada kemungkinan hujan minggu ini,weather_query,9
80,16205,kirim pesan ini ke grup rekan kerja,email_sendemail,5
81,203,tunjukkan alarm yang sudah saya atur,alarm_query,0
82,1556,berikan laporan cuaca minggu ini,weather_query,9
83,218,apakah di luar hujan olly,weather_query,9
