,id,text,intent,label
0,9782,predvajaj jo čez pet minut,play_audiobook,6
1,16126,pošlji sporočilo mami najlepša hvala mami,email_sendemail,5
2,10178,kako pravilno olupiti krompir,cooking_recipe,3
3,7702,pobriši moj urnik,calendar_remove,2
4,3584,kateri alarm se aktivira naslednji,alarm_query,0
5,4750,ali bo snežilo,weather_query,9
6,12126,pozdravljena želim z vlakom do ljubljane v sredo,transport_ticket,8
7,4342,znižaj glasnost zvočnikov,audio_volume_down,1
8,10190,najdi recept za piščančji paprikaš,cooking_recipe,3
9,15827,pojdi v kontakte in dodaj novo email listo,email_sendemail,5
10,4679,ali danes potrebujem lahko ali toplo jakno,weather_query,9
11,3934,pokaži mi nastavljene alarme,alarm_query,0
12,438,ali bo danes deževalo,weather_query,9
13,2111,ko je tukaj deset zvečer koliko je potem ura v ljubljani,datetime_convert,4
14,12762,prosim rezerviraj vozovnico za vlak,transport_ticket,8
15,8862,prosim odstrani vse današnje sestanke po sedmi uri zvečer,calendar_remove,2
16,1503,če je v ljubljani štiri popoldne koliko je ura v londonu,datetime_convert,4
17,16937,shrani elektronsko sporočilo za pozneje,email_sendemail,5
18,12897,rad bi kupil vozovnico za vlak številka pet plačal plačala bi s kreditno kartico,transport_ticket,8
19,16604,pošlji hčeri spletno sporočilo,email_sendemail,5
20,13529,kateri film naj si grem pogledat,recommendation_movies,7
21,283,ali pričakuješ sonce v nedeljo,weather_query,9
22,12198,rezerviraj mi vozovnico za vlak do maribora,transport_ticket,8
23,6759,izbriši moj naslednji sestanek,calendar_remove,2
24,16115,na vsa spletna sporočila prispela med deseto zvečer in deveto zjutraj treba odgovoriti,email_sendemail,5
25,9883,vrni se na radio ga ga,play_audiobook,6
26,8943,zelim izbrisati vse moje dogodke,calendar_remove,2
27,3027,poslabšanje snežne napovedi na pohorju,weather_query,9
28,9805,predvajaj mi pesem jana plestenjaka iz zvočne knjige,play_audiobook,6
29,5075,kakšno je ta teden vreme,weather_query,9
30,6179,ali potrebujem snežne škornje,weather_query,9
31,16059,odgovori goranu in povej da bom jutri prost,email_sendemail,5
32,16142,sestavi elektronsko sporočilo za janeza,email_sendemail,5
33,4207,bom morala nositi plašč danes,weather_query,9
34,4665,kakšno je vreme v piranu,weather_query,9
35,10203,kako naj pripravim lazanjo po korakih,cooking_recipe,3
36,2328,katera je najvišja temperatura danes,weather_query,9
37,12790,rezerviraj vlak za ljubljano,transport_ticket,8
38,4215,potrebujem časovni pas za maribor slovenija namesto centralnega časovnega pasu,datetime_convert,4
39,1864,kateri alarmi so zdaj aktivni,alarm_query,0
40,8433,izbriši sestanek devetnajstega marca ob enih popoldne,calendar_remove,2
41,4252,ali naj danes vzamem dežnik s seboj,weather_query,9
42,10144,kako dolgo se hladi ledena pita,cooking_recipe,3
43,5007,za katere dneve imam nastavljen alarm,alarm_query,0
44,7018,izbriši novoletni večer iz koledarja,calendar_remove,2
45,4732,znižaj glasnost,audio_volume_down,1
46,7091,odstrani dogodke s koledarja,calendar_remove,2
47,12524,rezerviraj mi najcenejšo karto za vlak do ljubljane,transport_ticket,8
48,9867,preberi mi zvočne knjige ki sem jih že poslušal,play_audiobook,6
49,16044,pošlji špeli elektronsko sporočilo o urniku vadbe,email_sendemail,5
50,10231,za katere kuhinje je značilna močno začinjena in pikantna hrana,cooking_recipe,3
51,15759,prosim pošlji elektronsko pošto pavlu z opomnikom,email_sendemail,5
